2023-06-24 12:42:03.506 [info] Starting worker process with pid 2111 (type: fileWatcher, window: 1).
2023-06-24 12:43:13.545 [info] Worker process with pid 2111 terminated normally (type: fileWatcher, window: 1).
2023-06-24 12:43:13.586 [info] Starting worker process with pid 2359 (type: fileWatcher, window: 1).
2023-06-24 12:43:14.672 [warning] SharedProcess: createWorker found an existing worker that will be terminated (window: 1, moduleId: vs/platform/files/node/watcher/watcherMain)
2023-06-24 12:43:14.693 [info] Worker process with pid 2359 terminated normally (type: fileWatcher, window: 1).
2023-06-24 12:43:14.696 [info] Starting worker process with pid 2373 (type: fileWatcher, window: 1).
2023-06-24 13:14:57.597 [info] Worker process with pid 2373 terminated normally (type: fileWatcher, window: 1).
2023-06-24 13:14:57.617 [info] Starting worker process with pid 3845 (type: fileWatcher, window: 1).
2023-06-24 13:14:58.741 [warning] SharedProcess: createWorker found an existing worker that will be terminated (window: 1, moduleId: vs/platform/files/node/watcher/watcherMain)
2023-06-24 13:14:58.762 [info] Worker process with pid 3845 terminated normally (type: fileWatcher, window: 1).
2023-06-24 13:14:58.765 [info] Starting worker process with pid 3859 (type: fileWatcher, window: 1).
