2023-07-30 17:14:44.706 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2023-07-30 17:14:44.706 [info] Added views:workbench.panel.output in workbench.panel.output
2023-07-30 17:14:44.706 [info] Added views:terminal in terminal
2023-07-30 17:14:44.706 [info] Added views:outline in workbench.view.explorer
2023-07-30 17:14:44.706 [info] Added views:workbench.scm in workbench.view.scm
2023-07-30 17:14:44.706 [info] Added views:workbench.view.search in workbench.view.search
2023-07-30 17:14:44.706 [info] Added views:timeline in workbench.view.explorer
2023-07-30 17:14:44.706 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2023-07-30 17:14:44.911 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-07-30 17:14:45.522 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2023-07-30 17:14:57.105 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-07-30 17:14:57.113 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2023-07-30 17:15:00.204 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-07-30 17:15:00.218 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-07-30 17:19:34.260 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-07-30 17:19:34.307 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2023-07-30 17:19:35.765 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-07-30 17:19:35.782 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-07-30 17:20:00.882 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-07-30 17:20:00.922 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2023-07-30 17:20:42.941 [info] Added views:workbench.view.testing in workbench.view.extension.test
2023-07-30 17:20:43.007 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-07-30 17:20:43.020 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-07-30 17:21:27.572 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-07-30 17:21:27.595 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2023-07-30 17:21:30.394 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-07-30 17:21:30.411 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-07-30 17:22:21.458 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-07-30 17:22:21.485 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2023-07-30 17:22:24.422 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-07-30 17:22:24.437 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-07-30 17:23:47.070 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-07-30 17:23:47.094 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2023-07-30 17:23:49.181 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-07-30 17:23:49.195 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-07-30 17:24:16.704 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-07-30 17:24:16.728 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2023-07-30 17:24:18.732 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-07-30 17:24:18.745 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-07-30 17:24:40.670 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-07-30 17:24:40.699 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2023-07-30 17:24:43.758 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-07-30 17:24:43.772 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-07-30 17:25:56.958 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-07-30 17:25:56.980 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2023-07-30 17:25:58.285 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-07-30 17:25:58.313 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-07-30 18:38:17.103 [info] Removed views:workbench.view.testing from workbench.view.extension.test
