aalib 1.4rc5-17
abseil-cpp 20230802.1-1
accountsservice 23.13.9-1
acl 2.3.1-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
alacritty 0.12.3-1
alsa-lib 1.2.10-2
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
aom 3.8.0-2
apache 2.4.58-1
apg 2.2.3-5
appstream 1.0.1-1
apr 1.7.4-1
apr-util 1.6.3-1
archlinux-keyring 20231222-1
argon2 20190702-5
at-spi2-core 2.50.0-1
atkmm 2.28.3-1
atool 0.39.0-8
attr 2.5.1-3
audit 3.1.2-1
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r189+g35bb1ba-1
base 3-2
bash 5.2.021-1
bat 0.24.0-1
binutils 2.41-3
bison 3.8.2-6
bluez 5.71-3
bluez-utils 5.71-3
bmon 4.0-4
boost-libs 1.83.0-4
box2d 2.4.1-2
bpytop 1.0.68-1
brotli 1.1.0-1
btrfs-progs 6.6.3-1
bubblewrap 0.8.0-1
byobu 5.133-3
bzip2 1.0.8-5
c-ares 1.24.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.96.1-1
ca-certificates-utils 20220905-1
cairo 1.18.0-1
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
ccze 0.2.1-12
cdparanoia 10.2-9
chrono-date 3.0.1-3
clucene 2.3.3.4-14
cmatrix 2.0-2
code 1.85.1-1
colord 1.4.6-1
confuse 3.3-3
coreutils 9.4-2
cryptsetup 2.6.1-3
curl 8.5.0-1
cython 3.0.7-1
dav1d 1.3.0-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-1
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.22-2
dhcpcd 10.0.6-1
dialog 1:1.3_20231002-1
diffutils 3.10-1
dmenu 5.2-1
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnssec-anchors 20190629-3
dosfstools 4.2-3
double-conversion 3.3.0-1
duktape 2.7.0-6
dwarffortress 0.47.05-3
e2fsprogs 1.47.0-1
efibootmgr 18-2
efivar 38-3
egl-wayland 2:1.1.13-1
eglexternalplatform 1.1-2
electron18 18.3.15-4
electron19 19.1.9-5
electron22 22.3.27-3
electron25 25.9.6-1
elementary-icon-theme 7.3.1-1
ell 0.61-1
exempi 2.6.4-1
exiv2 0.28.1-1
exo 4.18.0-1
expat 2.5.0-1
fakeroot 1.32.2-1
feh 3.10.2-1
ffmpeg 2:6.1-3
fftw 3.3.10-4
file 5.45-1
filesystem 2023.09.18-1
findutils 4.9.0-3
firefox-developer-edition 122.0b3-1
flac 1.4.3-1
flameshot 12.1.0-3
flex 2.6.4-5
fmt 10.1.1-1
fontconfig 2:2.14.2-1
freeglut 3.4.0-1
freetype2 2.13.2-1
fribidi 1.0.13-2
fuse-common 3.16.2-1
fuse3 3.16.2-1
garcon 4.18.1-1
gawk 5.3.0-1
gc 8.2.4-1
gcc 13.2.1-3
gcc-libs 13.2.1-3
gcr 3.41.1-4
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
geoclue 2.7.1-1
gettext 0.22.4-1
giflib 5.2.1-2
git 2.43.0-1
glew 2.2.0-6
glib-networking 1:2.78.0-1
glib2 2.78.3-1
glibc 2.38-7
glibmm 2.66.6-1
glslang 13.1.1-3
glu 9.0.3-1
gmp 6.3.0-1
gnome-autoar 0.4.4-1
gnome-desktop 1:44.0-1
gnome-desktop-4 1:44.0-1
gnome-desktop-common 1:44.0-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnu-free-fonts 20120503-8
gnupg 2.4.3-2
gnutls 3.8.2-1
